entity_addr,entity_total_trans_fulton_all_yr,pct_entity_total_trans_fulton_all_yr
0 PO BOX 327 94064,1.0,0.0008806460419363645
0 PO BOX 3305 30302,1.0,0.0008806460419363645
0 PO BOX 330538 32233,4.0,0.003522584167745458
0 PO BOX 33093 33093,1.0,0.0008806460419363645
0 PO BOX 331 30074,1.0,0.0008806460419363645
0 PO BOX 33211 30033,1.0,0.0008806460419363645
0 PO BOX 333 30639,1.0,0.0008806460419363645
0 PO BOX 335 30017,3.0,0.0026419381258090935
0 PO BOX 3402 30028,1.0,0.0008806460419363645
0 PO BOX 340485 33694,1.0,0.0008806460419363645
0 PO BOX 3408 29928,5.0,0.004403230209681822
0 PO BOX 343 30031,5.0,0.004403230209681822
0 PO BOX 3484 33469,1.0,0.0008806460419363645
0 PO BOX 3512 30024,6.0,0.005283876251618187
0 PO BOX 3523 33469,1.0,0.0008806460419363645
0 PO BOX 3524 30052,3.0,0.0026419381258090935
0 PO BOX 352400 90035,7.0,0.006164522293554553
0 PO BOX 358 39886,1.0,0.0008806460419363645
0 PO BOX 360011 30036,1.0,0.0008806460419363645
0 PO BOX 360361 30036,1.0,0.0008806460419363645
0 PO BOX 361026 30036,1.0,0.0008806460419363645
0 PO BOX 361351 30036,1.0,0.0008806460419363645
0 PO BOX 361638 30036,2.0,0.001761292083872729
0 PO BOX 363 30125,1.0,0.0008806460419363645
0 PO BOX 363 30703,1.0,0.0008806460419363645
0 PO BOX 366015 30036,1.0,0.0008806460419363645
0 PO BOX 366015 30336,1.0,0.0008806460419363645
0 PO BOX 366204 30336,1.0,0.0008806460419363645
0 PO BOX 366503 30336,1.0,0.0008806460419363645
0 PO BOX 366512 30336,20.0,0.01761292083872729
0 PO BOX 36655 75235,1.0,0.0008806460419363645
0 PO BOX 370041 30037,7.0,0.006164522293554553
0 PO BOX 370064 30037,1.0,0.0008806460419363645
0 PO BOX 371 12513,1.0,0.0008806460419363645
0 PO BOX 371202 30037,1.0,0.0008806460419363645
